id	registry_id	decision	plain_hex	wire_hex	source_sha256	errata_sha256	requirement_ids	provenance_ids
mime-empty	mime-body	accept			9bb251635dd37fda97dcce6c08dea019432117a0f1e389051d2ecbf7b76350b0	621c10a1c841e66cdf319b22e3e0d696171e7f42ac6e024fcc3c056e44e6df70	RFC2045-6.8-STANDARD-TABLE-1;RFC2045-6.8-CANONICAL-PADDING	python-email;openssl
mime-f	mime-body	accept	66	5a673d3d0d0a	9bb251635dd37fda97dcce6c08dea019432117a0f1e389051d2ecbf7b76350b0	621c10a1c841e66cdf319b22e3e0d696171e7f42ac6e024fcc3c056e44e6df70	RFC2045-6.8-STANDARD-TABLE-1;RFC2045-6.8-MAX-76-COLUMNS	python-email;openssl
mime-invalid-padding	mime-body	reject		5a673d0d0a	9bb251635dd37fda97dcce6c08dea019432117a0f1e389051d2ecbf7b76350b0	621c10a1c841e66cdf319b22e3e0d696171e7f42ac6e024fcc3c056e44e6df70	RFC2045-6.8-CANONICAL-PADDING	python-email;openssl
pem-test	pem-textual	accept	66	2d2d2d2d2d424547494e20544553542d2d2d2d2d0d0a5a673d3d0d0a2d2d2d2d2d454e4420544553542d2d2d2d2d0d0a	0b2c3c2087cc0b099789c90e61c0208e87b25793f0ce40090979e8c734b3d989	e0bb92b64dc4e6c8b96c93bfcec4a1c8d633f067464d6f962cacfaeb162bb957	RFC7468-2-BOUNDARIES;RFC7468-2-BASE64;RFC7468-2-64-COLUMNS	python-ssl;openssl
pem-mismatched-label	pem-textual	reject		2d2d2d2d2d424547494e20544553542d2d2d2d2d0d0a5a673d3d0d0a2d2d2d2d2d454e44204f544845522d2d2d2d2d0d0a	0b2c3c2087cc0b099789c90e61c0208e87b25793f0ce40090979e8c734b3d989	e0bb92b64dc4e6c8b96c93bfcec4a1c8d633f067464d6f962cacfaeb162bb957	RFC7468-2-BOUNDARIES	python-ssl;openssl
multibase-m-ok	multibase-base64	accept	66	6d5a67	3954556dc4c3945f4bae17089a72ed94f1ece1934ecbf2426265694edfa76a05	2db82cd2a16dfbd7d03ecc89b3d4bb5d63e192c6c0656cffb293eec0b3f0e843	MULTIBASE-BASE64-FAMILY	multibase-upstream;python-base64
multibase-M-ok	multibase-base64	accept	66	4d5a673d3d	3954556dc4c3945f4bae17089a72ed94f1ece1934ecbf2426265694edfa76a05	2db82cd2a16dfbd7d03ecc89b3d4bb5d63e192c6c0656cffb293eec0b3f0e843	MULTIBASE-BASE64-FAMILY	multibase-upstream;python-base64
multibase-u-ok	multibase-base64	accept	fbff	752d5f38	3954556dc4c3945f4bae17089a72ed94f1ece1934ecbf2426265694edfa76a05	2db82cd2a16dfbd7d03ecc89b3d4bb5d63e192c6c0656cffb293eec0b3f0e843	MULTIBASE-BASE64-FAMILY	multibase-upstream;python-base64
multibase-U-ok	multibase-base64	accept	fbff	552d5f383d	3954556dc4c3945f4bae17089a72ed94f1ece1934ecbf2426265694edfa76a05	2db82cd2a16dfbd7d03ecc89b3d4bb5d63e192c6c0656cffb293eec0b3f0e843	MULTIBASE-BASE64-FAMILY	multibase-upstream;python-base64
multibase-bad-tail	multibase-base64	reject		6d5a68	3954556dc4c3945f4bae17089a72ed94f1ece1934ecbf2426265694edfa76a05	2db82cd2a16dfbd7d03ecc89b3d4bb5d63e192c6c0656cffb293eec0b3f0e843	MULTIBASE-BASE64-FAMILY	multibase-upstream;python-base64
imap-rfc-taipei	imap-mutf7-payload	accept	53f05317	552c42544677	4437974dde85859f2391f32215295e7b20ce157c3bd2adbe7e5b443e990f15cf	a38d89d9748c6bdf06e007659a3783b492fffb234a98ba5293bcdc24971fdbf5	RFC3501-5.1.3-ALPHABET;RFC3501-5.1.3-UTF16BE	python-base64;gnu-iconv
imap-rfc-japanese	imap-mutf7-payload	accept	65e5672c8a9e	5a65566e4c497165	4437974dde85859f2391f32215295e7b20ce157c3bd2adbe7e5b443e990f15cf	a38d89d9748c6bdf06e007659a3783b492fffb234a98ba5293bcdc24971fdbf5	RFC3501-5.1.3-ALPHABET;RFC3501-5.1.3-EXACT-TEXT	python-base64;gnu-iconv
imap-bad-alphabet	imap-mutf7-payload	reject		552f42544677	4437974dde85859f2391f32215295e7b20ce157c3bd2adbe7e5b443e990f15cf	a38d89d9748c6bdf06e007659a3783b492fffb234a98ba5293bcdc24971fdbf5	RFC3501-5.1.3-ALPHABET	python-base64;gnu-iconv
pbkdf2-sha1-ok	passlib-pbkdf2	accept		2470626b64663224312463324673644124414141414141414141414141414141414141414141414141414141	924c8d9fecc04fbe99dae4a88771617b8ec8590a7ad918540d00d04e8116dd11	3a11142070d0c4da92e5ab232e2d0e618309be7e895699ecf4c39ff817929d42	PASSLIB-PBKDF2-FORMAT	passlib-1.7.4;base64ct-1.8.3
pbkdf2-sha256-ok	passlib-pbkdf2	accept		2470626b6466322d7368613235362431246332467364412441414141414141414141414141414141414141414141414141414141414141414141414141414141414141	924c8d9fecc04fbe99dae4a88771617b8ec8590a7ad918540d00d04e8116dd11	3a11142070d0c4da92e5ab232e2d0e618309be7e895699ecf4c39ff817929d42	PASSLIB-PBKDF2-FORMAT	passlib-1.7.4;base64ct-1.8.3
pbkdf2-sha512-ok	passlib-pbkdf2	accept		2470626b6466322d736861353132243124633246736441244141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141414141	924c8d9fecc04fbe99dae4a88771617b8ec8590a7ad918540d00d04e8116dd11	3a11142070d0c4da92e5ab232e2d0e618309be7e895699ecf4c39ff817929d42	PASSLIB-PBKDF2-FORMAT	passlib-1.7.4;base64ct-1.8.3
pbkdf2-leading-round-zero	passlib-pbkdf2	reject		2470626b6466322430312463324673644124414141414141414141414141414141414141414141414141414141	924c8d9fecc04fbe99dae4a88771617b8ec8590a7ad918540d00d04e8116dd11	3a11142070d0c4da92e5ab232e2d0e618309be7e895699ecf4c39ff817929d42	PASSLIB-PBKDF2-FORMAT	passlib-1.7.4;base64ct-1.8.3
sha-crypt-256-ok	sha-crypt	accept		24352473616c74737472696e672435423876595969592e43567431526c545466384b6258424833687378592f474e6f6f5a6142424757456335	e06bddaf32416914e3b3bd5a155102ab764455a322ea15f5e9eec1fa114b73a8	3a11142070d0c4da92e5ab232e2d0e618309be7e895699ecf4c39ff817929d42	SHA-CRYPT-FORMAT	openssl;sha-crypt-upstream
sha-crypt-512-ok	sha-crypt	accept		24362473616c74737472696e672473766e38556f535661704e744d757131756b4b53347450516438694b77534d48576a6c2f4f383137473375426e49464e6a6e514a75657349363875344f544c69424664636259456446436f454f6661533335696e7a31	e06bddaf32416914e3b3bd5a155102ab764455a322ea15f5e9eec1fa114b73a8	3a11142070d0c4da92e5ab232e2d0e618309be7e895699ecf4c39ff817929d42	SHA-CRYPT-FORMAT	openssl;sha-crypt-upstream
sha-crypt-short	sha-crypt	reject		24352473616c742473686f7274	e06bddaf32416914e3b3bd5a155102ab764455a322ea15f5e9eec1fa114b73a8	3a11142070d0c4da92e5ab232e2d0e618309be7e895699ecf4c39ff817929d42	SHA-CRYPT-FORMAT	openssl;sha-crypt-upstream
openpgp-message-ok	openpgp-armor	accept	66	2d2d2d2d2d424547494e20504750204d4553534147452d2d2d2d2d0a0a5a673d3d0a2d2d2d2d2d454e4420504750204d4553534147452d2d2d2d2d0a	36540e57b63d24c0b17be0748b704bdeed3d643ce99a4fb1abb6469c1eb1ff18	fb53d8cb034540233ec974bc197d966a0109e76e6cd9615ab7a44a19d1a588c3	RFC9580-6-BASE64;RFC9580-6.2-CONTAINER;RFC9580-6.2.1-TYPES	gnupg;sequoia-sq
openpgp-public-key-block-ok	openpgp-armor	accept	66	2d2d2d2d2d424547494e20504750205055424c4943204b455920424c4f434b2d2d2d2d2d0a0a5a673d3d0a2d2d2d2d2d454e4420504750205055424c4943204b455920424c4f434b2d2d2d2d2d0a	36540e57b63d24c0b17be0748b704bdeed3d643ce99a4fb1abb6469c1eb1ff18	fb53d8cb034540233ec974bc197d966a0109e76e6cd9615ab7a44a19d1a588c3	RFC9580-6.2.1-TYPES	gnupg;sequoia-sq
openpgp-private-key-block-ok	openpgp-armor	accept	66	2d2d2d2d2d424547494e205047502050524956415445204b455920424c4f434b2d2d2d2d2d0a0a5a673d3d0a2d2d2d2d2d454e44205047502050524956415445204b455920424c4f434b2d2d2d2d2d0a	36540e57b63d24c0b17be0748b704bdeed3d643ce99a4fb1abb6469c1eb1ff18	fb53d8cb034540233ec974bc197d966a0109e76e6cd9615ab7a44a19d1a588c3	RFC9580-6.2.1-TYPES	gnupg;sequoia-sq
openpgp-signature-ok	openpgp-armor	accept	66	2d2d2d2d2d424547494e20504750205349474e41545552452d2d2d2d2d0a0a5a673d3d0a2d2d2d2d2d454e4420504750205349474e41545552452d2d2d2d2d0a	36540e57b63d24c0b17be0748b704bdeed3d643ce99a4fb1abb6469c1eb1ff18	fb53d8cb034540233ec974bc197d966a0109e76e6cd9615ab7a44a19d1a588c3	RFC9580-6.2.1-TYPES	gnupg;sequoia-sq
openpgp-mismatched-label	openpgp-armor	reject		2d2d2d2d2d424547494e20504750204d4553534147452d2d2d2d2d0a0a5a673d3d0a2d2d2d2d2d454e4420504750205349474e41545552452d2d2d2d2d0a	36540e57b63d24c0b17be0748b704bdeed3d643ce99a4fb1abb6469c1eb1ff18	fb53d8cb034540233ec974bc197d966a0109e76e6cd9615ab7a44a19d1a588c3	RFC9580-6.2-CONTAINER	gnupg;sequoia-sq
core-standard-padded	core-config	accept	66	5a673d3d	84e14418f795d503be5f34bf23ce4ebaa119e9ec7c9f667d8caeb111385b178f	8447b60e3bcc699b9d8ac7e3251c02a92b1712237d3c3f13afa6e04078bc275f	RFC4648-3.2-MUST-PAD-BY-DEFAULT;RFC4648-4-PADDING-CASES	base64-0.23.0;base64ct-1.8.3
